routeid,region,variable,long,lat,height,varep
33,AS,long1,72.226845513236,31.4216424380142,3341.57643355504,38.9893750893201
60,AS,long1,68.7727273476722,32.6430417923288,2722.06583296935,53.9279052925062
97,AS,long1,76.8118914685557,25.1978053865557,3100.45149389096,81.5347398038243
203,AS,long1,67.2411875113054,25.8962831322177,2792.25243250232,71.304818687816
265,AS,long1,60.6799967219961,34.5922562243177,4913.04354412679,19.5174316238811
283,AS,long1,71.7746989180577,26.3161372784536,3873.44191092549,78.1391615896103
33,AS,long2,74.1209351803919,31.4527214225205,3196.71250048797,3.0838858344687
60,AS,long2,69.9316488227982,32.4210502133233,2625.04825235517,3.97600785702248
97,AS,long2,78.0366486400872,25.0682216858169,2995.90356709983,3.9338020970513
203,AS,long2,68.4115615324593,25.866740239416,2702.40417668141,4.34586798520511
265,AS,long2,63.9534298581023,34.4397143014028,4703.92167654053,0.547733544217667
283,AS,long2,72.3583654681791,26.2114760457232,3773.48628853717,3.42232032751455
33,AS,long3,75.9037962929245,31.4121112134019,3042.49633680554,-0.00279992086944846
60,AS,long3,71.026423410385,32.1994321751551,2530.68502665233,-0.920248703434305
97,AS,long3,79.2488264165573,24.899394625065,2900.19749220194,-0.301661600387522
203,AS,long3,69.5209596011137,25.830080294172,2587.97346046538,0.273438354652296
265,AS,long3,67.2014796878903,34.2859049556645,4505.37566679106,-0.434580874339558
283,AS,long3,72.8879924118573,26.0983626893464,3710.99874683891,0.581851786893618
33,AS,long4,77.5461759303716,31.3051559600623,2878.2672145316,-0.342840195651838
60,AS,long4,72.0231020516278,31.9512513157614,2467.66292563317,0.399295443606604
97,AS,long4,80.437634665382,24.7230373835417,2846.2706423017,0.0273787271029813
203,AS,long4,70.5618904492667,25.774332919883,2505.21232280419,1.05305978228172
265,AS,long4,70.3339976079191,34.1607484553252,4323.20084820805,-1.06601006353674
283,AS,long4,73.3073960005804,25.9879686020984,3685.24862213495,0.30965532621854
33,AS,long5,79.0579805615928,31.1558689480393,2694.15715475558,2.36422125807761
60,AS,long5,72.9595696369892,31.7186394460383,2396.36708083748,2.99456002547721
97,AS,long5,81.6170429054172,24.5435836289793,2783.65220922784,4.03040716297435
203,AS,long5,71.5236035700558,25.7224789099705,2453.29143197669,3.24299207188672
265,AS,long5,73.3579659576015,34.0459076388706,4120.6730707688,-0.0661218911826751
283,AS,long5,73.6334932617597,25.9153553462122,3660.95776485704,2.66361790187203
33,AS,long6,80.4423233483141,30.9449753154956,2490.7532199827,4.92367940528583
60,AS,long6,73.9077771315066,31.5191246749408,2289.15440480449,5.00380922273838
97,AS,long6,82.7440581941316,24.3492558400346,2669.88450060965,5.64422681059531
203,AS,long6,72.4328934751354,25.7152470912355,2368.40890952931,6.23743616711735
265,AS,long6,76.2832185519124,33.8581685728894,3838.81458417949,0.382367889159828
283,AS,long6,73.9239607382011,25.8502927400428,3608.43948565999,4.51228387054834
33,AS,long7,81.6810139301824,30.6505547825737,2302.61553839658,0.212732254315786
60,AS,long7,74.827111478686,31.2870762477107,2190.96006437355,-1.316152190986
97,AS,long7,83.7632330784119,24.1627284220261,2542.48690744261,0.988464260938393
203,AS,long7,73.3369689617275,25.7343251308221,2253.29066178891,3.0835594189883
265,AS,long7,79.0531201483394,33.5354072644743,3484.59031526782,0.38336031172719
283,AS,long7,74.1746987479829,25.7446506797424,3559.00472648998,0.703891795734707
33,AS,long8,82.7702013675621,30.3006029990137,2169.62425792106,0.346617215552964
60,AS,long8,75.6429002009341,31.0000579598402,2139.56925127827,0.181515943604263
97,AS,long8,84.6829099445331,24.0198811571179,2468.04263335385,0.810915706896696
203,AS,long8,74.2450670818205,25.7128211086902,2179.79049388483,1.9131502583504
265,AS,long8,81.6690635517232,33.0880534510959,3189.50744930669,0.266064842594374
283,AS,long8,74.3577187065187,25.6268848895282,3558.85935037731,-0.590966236107226
33,AS,long9,83.7288769515513,29.9575252031973,2081.1270100841,3.7313313699604
60,AS,long9,76.3890542742752,30.7443570876239,2110.95104988055,3.57249692812455
97,AS,long9,85.5373303666961,23.9067689481246,2427.25376637835,4.02776175873052
203,AS,long9,75.1345726070392,25.6247858892736,2136.89953856057,4.14496671323889
265,AS,long9,84.1571199296465,32.5160083000691,2976.47432274719,1.17420129118469
283,AS,long9,74.4973407833913,25.5483347917055,3572.5529805151,1.72944905558242
33,AS,long10,84.5757792343351,29.6507983577406,2004.18042591911,4.73760585618124
60,AS,long10,77.1258071337915,30.5515655965516,2054.28127382143,5.52848087058334
97,AS,long10,86.3318385382145,23.7859255564637,2364.10515553029,5.49559386551561
203,AS,long10,75.9959110376749,25.5022071182511,2042.88609552786,7.32943905065303
265,AS,long10,86.4544747857255,31.7858310534259,2756.38361835792,2.94559110576336
283,AS,long10,74.6562298229883,25.4937616998617,3559.14286232996,4.61280813572637
33,AS,long11,85.3144224827391,29.3567638455642,1943.87204319375,0.347485355462247
60,AS,long11,77.8382660157572,30.3599850755348,1984.59259694756,-0.525247773177847
97,AS,long11,87.0398338218987,23.651771005711,2304.06678967532,-0.327952849973058
203,AS,long11,76.8446183658752,25.3530802465941,1926.90907838716,1.95869296396412
265,AS,long11,88.4389049017296,30.961139164324,2511.14423881698,0.876254150802049
283,AS,long11,74.8485754657298,25.4333032694277,3562.66688636568,0.415165636033302
33,AS,long12,85.9476209309958,29.0695285323907,1923.50755249828,-0.222259938115479
60,AS,long12,78.488981659642,30.1526565354971,1943.25350106746,0.352335484523829
97,AS,long12,87.6540915918262,23.5356383692248,2286.4433378632,2.01956700656266
203,AS,long12,77.6714115255572,25.1599151489358,1884.0377342144,2.03637351141364
265,AS,long12,90.035267006595,30.1288662643292,2281.86987469778,1.23524050222019
283,AS,long12,75.0436255370898,25.4067949542732,3592.70315665574,-0.0805734923909298
33,AS,long13,86.5105730931771,28.8278243638611,1914.39543368108,4.28567702354124
60,AS,long13,79.0912687533276,29.9822784639387,1930.35860166455,1.55295022027082
97,AS,long13,88.2183747248172,23.444210967855,2296.36846119965,4.28292176867155
203,AS,long13,78.4560984971716,24.9582470653673,1891.92031518331,6.80891899819781
265,AS,long13,91.1973605672168,29.3641998241056,2126.39397830952,3.72698492015671
283,AS,long13,75.2663770200045,25.4458870803155,3588.61488597347,2.63337351322756
33,AS,long14,87.0513733543227,28.6433534747003,1885.90248647044,4.7447125752055
60,AS,long14,79.6813117133164,29.8788051193121,1909.59629651911,3.1760142119962
