routeid,region,variable,long,lat
1,AS,long1,108.527294784964,29.5702907455838
2,CS,long1,51.5289087193636,36.759963052718
3,ATO,long1,-69.8966909434455,30.5885792358599
4,AS,long1,86.8556414361954,44.9335835624963
5,ATO,long1,-46.7054971025261,31.7706185932052
6,NAF,long1,1.4250115146196,34.7011704620338
7,EU,long1,17.4151569475871,50.625269379046
8,NA,long1,-75.3199479715478,40.9794668331828
9,AS,long1,136.103528607749,34.5203668639114
10,NAF,long1,-1.81605440700399,26.7877430561252
11,MS,long1,20.0571127044766,33.2122048429169
12,NA,long1,-111.577724664422,38.2739756861074
13,IO,long1,65.2846256718061,20.6489791084163
14,AS,long1,70.5928839801271,45.3727680799449
15,ATO,long1,-31.8571101688413,34.374122891977
16,NA,long1,-103.33853192005,32.8412293599364
17,ATO,long1,-34.7112624539185,43.2443718733908
18,AS,long1,82.0487236480558,25.1993921148978
19,AS,long1,41.6063608328398,22.7991963388169
20,BS,long1,30.7163013964377,44.8993450461892
1,AS,long2,108.939704950105,29.4682550396065
2,CS,long2,53.2972058849944,36.6129269587641
3,ATO,long2,-67.5449099353151,30.6841610125168
4,AS,long2,88.5560461373288,44.7832152890666
5,ATO,long2,-43.7977342275049,31.9658503457585
6,NAF,long2,4.17145826576908,34.677882028991
7,EU,long2,20.453102206239,51.167768888691
8,NA,long2,-70.9461169208872,41.6074617732051
9,AS,long2,120.847728036368,35.6494058841806
10,NAF,long2,-0.286732994310772,26.6216855881802
11,MS,long2,22.6520599674837,33.2890752153478
12,NA,long2,-110.178925969114,38.3819437099916
13,IO,long2,66.1927075012297,20.7500332759413
14,AS,long2,72.1743793852855,45.2381604655619
15,ATO,long2,-28.3934985648847,34.6672600855485
16,NA,long2,-119.856886659447,33.1850273918745
17,ATO,long2,-29.7743649611306,43.9577023124514
18,AS,long2,82.9813986339337,25.2176905327477
19,AS,long2,42.0338731724637,22.6855831813778
20,BS,long2,33.8713839161572,45.3616841969168
1,AS,long3,109.259697069648,29.3539963730367
2,CS,long3,54.9732718322106,36.4367346173142
3,ATO,long3,-65.1398703094003,30.7766914729837
4,AS,long3,90.1072898230813,44.5956775125269
5,ATO,long3,-40.9197585155545,32.1425228415381
6,NAF,long3,6.90133856276229,34.6533166018328
7,EU,long3,23.2671400557948,51.7336682846642
8,NA,long3,-66.2197744136788,42.3902849807374
9,AS,long3,73.6061407505006,36.7713813018127
10,NAF,long3,1.15961307506811,26.4716779071913
11,MS,long3,25.278979461386,33.3508584722265
12,NA,long3,-106.863177786163,38.5529451706706
13,IO,long3,67.0956510402473,20.8191421163954
14,AS,long3,73.7046474626885,45.0457960025096
15,ATO,long3,-24.8485941588189,35.0021465785265
16,NA,long3,-125.787726521588,33.360017837466
17,ATO,long3,-24.4581787789245,44.7056450666084
