routeid,region,variable,long,lat,height,varep
1,AS,long1,108.527294784964,29.5702907455838,3216.49827302099,190159.98002072
2,CS,long1,51.5289087193636,36.759963052718,4433.5895790926,104893.850597397
3,ATO,long1,-69.8966909434455,30.5885792358599,6945.63909519777,71727.5056416788
4,AS,long1,86.8556414361954,44.9335835624963,3251.31626029878,71565.3240416949
5,ATO,long1,-46.7054971025261,31.7706185932052,7112.22517524118,67987.1447759167
6,NAF,long1,1.4250115146196,34.7011704620338,6804.73019099587,43331.2045177487
7,EU,long1,17.4151569475871,50.625269379046,6133.28022803793,43007.5128694977
8,NA,long1,-75.3199479715478,40.9794668331828,6492.34217225355,55784.367303124
9,AS,long1,136.103528607749,34.5203668639114,8406.8898246494,5442.95578908738
10,NAF,long1,-1.81605440700399,26.7877430561252,6077.76314159231,52127.4427524774
11,MS,long1,20.0571127044766,33.2122048429169,5907.91160349947,58241.1050607641
12,NA,long1,-111.577724664422,38.2739756861074,7371.75073754797,35885.0425275116
13,IO,long1,65.2846256718061,20.6489791084163,3459.63921840567,200031.556596119
14,AS,long1,70.5928839801271,45.3727680799449,3667.81769494954,96193.0508431805
15,ATO,long1,-31.8571101688413,34.374122891977,7574.186539475,46917.6607418454
16,NA,long1,-103.33853192005,32.8412293599364,7465.15741556726,37308.5204602631
17,ATO,long1,-34.7112624539185,43.2443718733908,6884.74566994527,38660.9999448121
18,AS,long1,82.0487236480558,25.1993921148978,3384.30466412796,199025.458866781
19,AS,long1,41.6063608328398,22.7991963388169,5289.27659666871,91628.0363427657
20,BS,long1,30.7163013964377,44.8993450461892,5945.72286801585,44295.8374050393
1,AS,long2,108.939704950105,29.4682550396065,3199.28708429192,2879.75683977747
2,CS,long2,53.2972058849944,36.6129269587641,4357.15578535691,4340.67398909777
3,ATO,long2,-67.5449099353151,30.6841610125168,6997.38959643774,-1553.73040081172
4,AS,long2,88.5560461373288,44.7832152890666,3168.03617545838,2809.58521992336
5,ATO,long2,-43.7977342275049,31.9658503457585,7170.2191001928,-2788.80992482341
6,NAF,long2,4.17145826576908,34.677882028991,6784.34201741171,-879.215024678849
7,EU,long2,20.453102206239,51.167768888691,6195.74601067239,-1041.05791227513
8,NA,long2,-70.9461169208872,41.6074617732051,6633.71420361953,-3121.9860442328
9,AS,long2,120.847728036368,35.6494058841806,8615.67004659625,-910.760882213784
10,NAF,long2,-0.286732994310772,26.6216855881802,6021.47374098443,-237.396283216364
11,MS,long2,22.6520599674837,33.2890752153478,5873.165933455,506.442938678478
12,NA,long2,-110.178925969114,38.3819437099916,7348.57981097941,-1002.5965551392
13,IO,long2,66.1927075012297,20.7500332759413,3409.30631664214,7709.48102064277
14,AS,long2,72.1743793852855,45.2381604655619,3589.17760875177,4890.57707457113
15,ATO,long2,-28.3934985648847,34.6672600855485,7621.7584401574,-3059.95956578429
16,NA,long2,-119.856886659447,33.1850273918745,7497.60338063206,-1527.09021975612
17,ATO,long2,-29.7743649611306,43.9577023124514,6992.60822446614,-3148.05473771814
18,AS,long2,82.9813986339337,25.2176905327477,3330.73787897624,5534.46230055056
19,AS,long2,42.0338731724637,22.6855831813778,5224.40166570242,2408.39243573208
20,BS,long2,33.8713839161572,45.3616841969168,5953.487011864,304.747639204054
1,AS,long3,109.259697069648,29.3539963730367,3181.18642871611,-692.323778276443
2,CS,long3,54.9732718322106,36.4367346173142,4262.6544215384,1696.35219024942
3,ATO,long3,-65.1398703094003,30.7766914729837,7073.88962519231,-951.347275616298
4,AS,long3,90.1072898230813,44.5956775125269,3073.80149278078,-61.1847830008975
5,ATO,long3,-40.9197585155545,32.1425228415381,7236.76556452509,-2396.67102955206
6,NAF,long3,6.90133856276229,34.6533166018328,6759.22725124055,-752.78057991394
7,EU,long3,23.2671400557948,51.7336682846642,6255.38648349696,-965.276598700895
8,NA,long3,-66.2197744136788,42.3902849807374,6797.84732866373,-3557.62149692793
9,AS,long3,73.6061407505006,36.7713813018127,8843.70918362483,-1003.94003975775
10,NAF,long3,1.15961307506811,26.4716779071913,5957.80134154619,359.404679528786
11,MS,long3,25.278979461386,33.3508584722265,5824.69910889143,166.975050156356
12,NA,long3,-106.863177786163,38.5529451706706,7344.42327518187,-1098.09255699692
13,IO,long3,67.0956510402473,20.8191421163954,3349.08607451325,2735.25786253589
14,AS,long3,73.7046474626885,45.0457960025096,3500.13710088669,800.348291689465
15,ATO,long3,-24.8485941588189,35.0021465785265,7661.54951699606,-2428.2870776398
16,NA,long3,-125.787726521588,33.360017837466,7508.47305899593,-1565.27537919216
17,ATO,long3,-24.4581787789245,44.7056450666084,7091.94738007479,-2603.35323871695
18,AS,long3,83.8440018455979,25.2092498932602,3283.41888284076,-630.18081801436
19,AS,long3,42.3887031016405,22.5702762499916,5155.34794994899,1742.61306110178
20,BS,long3,37.2365213471669,45.8499362386306,5961.3936458211,-513.790571693737
1,AS,long4,109.496275699412,29.2462336342413,3169.71851088455,-690.264791744051
2,CS,long4,56.5190564409381,36.2182649623235,4160.80489034356,-22.5810786027193
3,ATO,long4,-62.6891044872091,30.8939901045488,7170.81923871191,-1731.38909173512
