PMEATO,variable,value
NATO1,HSR1,9
NATO2,HSR1,13
NATO3,HSR1,6
NATO4,HSR1,19
NATO1,HSR2,4
NATO2,HSR2,14
NATO3,HSR2,-9
NATO4,HSR2,19
NATO1,HSR3,-14
NATO2,HSR3,0
NATO3,HSR3,-9
NATO4,HSR3,-6
NATO1,HSR4,-9
NATO2,HSR4,2
NATO3,HSR4,6
NATO4,HSR4,-11
NATO1,HSR5,-17
NATO2,HSR5,0
NATO3,HSR5,7
NATO4,HSR5,19
NATO1,HSR6,-13
NATO2,HSR6,14
NATO3,HSR6,-1
NATO4,HSR6,19
NATO1,HSR7,-2
NATO2,HSR7,5
NATO3,HSR7,3
NATO4,HSR7,19
NATO1,HSR8,15
NATO2,HSR8,15
NATO3,HSR8,12
NATO4,HSR8,19
NATO1,HSR9,0
NATO2,HSR9,6
NATO3,HSR9,6
NATO4,HSR9,19
NATO1,HSR10,0
NATO2,HSR10,-1
NATO3,HSR10,-4
NATO4,HSR10,6
NATO1,HSR11,11
NATO2,HSR11,13
NATO3,HSR11,-15
NATO4,HSR11,19
NATO1,HSR12,-8
NATO2,HSR12,1
NATO3,HSR12,-5
NATO4,HSR12,4
NATO1,TP_Moun1,0
NATO2,TP_Moun1,5
NATO3,TP_Moun1,6
NATO4,TP_Moun1,19
NATO1,TP_Moun2,-17
NATO2,TP_Moun2,0
NATO3,TP_Moun2,6
NATO4,TP_Moun2,19
