PMEATO,variable,value
NATO1,HSR1,0.161690416690889
NATO2,HSR1,0.163846384103808
NATO3,HSR1,0.160128153805087
NATO4,HSR1,0
NATO1,HSR2,0.159111456835146
NATO2,HSR2,0.164398987305357
NATO3,HSR2,0.161690416690889
NATO4,HSR2,0
NATO1,HSR3,0.164398987305357
NATO2,HSR3,0.157134840263677
NATO3,HSR3,0.161690416690889
NATO4,HSR3,0
NATO1,HSR4,0.161690416690889
NATO2,HSR4,0.158113883008419
NATO3,HSR4,0.160128153805087
NATO4,HSR4,0
NATO1,HSR5,0.16609095970748
NATO2,HSR5,0.157134840263677
NATO3,HSR5,0.1606438657805
NATO4,HSR5,0
NATO1,HSR6,0.163846384103808
NATO2,HSR6,0.164398987305357
NATO3,HSR6,0.15762208124782
NATO4,HSR6,0
NATO1,HSR7,0.158113883008419
NATO2,HSR7,0.159617376893524
NATO3,HSR7,0.158610317143629
NATO4,HSR7,0
NATO1,HSR8,0.164957219768465
NATO2,HSR8,0.164957219768465
NATO3,HSR8,0.163299316185545
NATO4,HSR8,0
NATO1,HSR9,0.157134840263677
NATO2,HSR9,0.160128153805087
NATO3,HSR9,0.160128153805087
NATO4,HSR9,0
NATO1,HSR10,0.157134840263677
NATO2,HSR10,0.15762208124782
NATO3,HSR10,0.159111456835146
NATO4,HSR10,0
NATO1,HSR11,0.162757691754232
NATO2,HSR11,0.163846384103808
NATO3,HSR11,0.164957219768465
NATO4,HSR11,0
NATO1,HSR12,0.161164592805076
NATO2,HSR12,0.15762208124782
NATO3,HSR12,0.159617376893524
NATO4,HSR12,0
NATO1,TP_Moun1,0.157134840263677
NATO2,TP_Moun1,0.159617376893524
NATO3,TP_Moun1,0.160128153805087
NATO4,TP_Moun1,0.167248402001418
NATO1,TP_Moun2,0.16609095970748
NATO2,TP_Moun2,0.157134840263677
NATO3,TP_Moun2,0.160128153805087
NATO4,TP_Moun2,0.167248402001418
