long,lat,mmk
-61,82.25,-0.107237675352654
-60.75,82.25,-0.124703077633006
-60.5,82.25,-0.126247546361404
-60.25,82.25,-0.130406983934764
-60,82.25,-0.200134404570884
-59.75,82.25,-0.305982377159141
-59.5,82.25,-0.41546309199083
-59.25,82.25,-0.477413882407782
-59,82.25,-0.550782913127599
-58.75,82.25,-0.641976819782581
-58.5,82.25,-0.796033148014194
-58.25,82.25,-0.879939505158967
-58,82.25,-0.799746750891645
-57.75,82.25,-0.857392791441214
-57.5,82.25,-0.793195176404737
-57.25,82.25,-0.701054618245649
-57,82.25,-0.575213761290241
-56.75,82.25,-0.488717362015914
-56.5,82.25,-0.439865886287888
-56.25,82.25,-0.407970993543542
-61,82,-0.204560379959951
-60.75,82,-0.298480175877967
-60.5,82,-0.301268479028492
-60.25,82,-0.353045214397063
-64,81.75,-0.0835148489009316
-63.75,81.75,-0.0595763158567225
-63.5,81.75,-0.00831842291142345
-59.25,81.75,-0.367156740968256
-64.25,81.5,-1.19826822540306
-64,81.5,-0.880141858113438
-63.75,81.5,-0.791003085675765
-63.5,81.5,-0.688077428902387
-63.25,81.5,-0.623985377894227
-63,81.5,-0.565042927990453
-62.75,81.5,-0.533061948455693
-62.5,81.5,-0.495385270205336
-62.25,81.5,-0.572230484864649
-62,81.5,-0.805369917867351
-61.75,81.5,-0.961316713963514
-61.5,81.5,-0.822099098040756
-58,81.5,-0.255331907554531
-78.25,81.25,-0.836011616179364
-78,81.25,-0.520057036785487
-65.5,81.25,-0.383828610485634
-65.25,81.25,-3.59285775574564
-65,81.25,-0.898612029443107
-64.75,81.25,-0.720718856320271
-64.5,81.25,-0.21989722097796
-64.25,81.25,-0.106970486064952
-64,81.25,-0.286108247857365
-63.75,81.25,-0.474138505229621
-63.25,81.25,-1.94174754962411
-63,81.25,-1.93131973909172
-62.75,81.25,-1.91720173997787
-62.5,81.25,-1.9266594131828
-62.25,81.25,-1.74793023936919
-62,81.25,-1.76077691258687
-61.75,81.25,-1.74006357080957
-85.75,81,-0.150431176000138
-85.5,81,-0.166628190531828
-79.25,81,-0.307684807448448
-79,81,-0.604302865535274
-66.75,81,-0.344149207388732
-66.5,81,-0.335281765999965
-66.25,81,-0.103785752167287
-66,81,-0.212076956826504
-65.75,81,-0.518009478804115
-65.5,81,-0.617932590962252
-65.25,81,-0.767629277924676
-65,81,-1.09276003081399
-64.75,81,-0.968514894744116
-82.5,80.75,-0.583310343593379
-82.25,80.75,-0.386554571083272
-80,80.75,-0.213226979960808
-79.75,80.75,-0.236669795545859
-79.5,80.75,-0.246740902859609
-79.25,80.75,-0.215526559092693
-79,80.75,-0.203627299480986
-68.25,80.75,-0.21015431156868
-68,80.75,-0.301464066740075
-67.75,80.75,-0.411914409173109
-67.5,80.75,-0.567785784933589
-67.25,80.75,-0.423274571571429
-67,80.75,-0.261844948686091
-66.75,80.75,-0.285159147775096
-66.5,80.75,-0.481451208191802
-66.25,80.75,-0.706001930400888
-66,80.75,-0.777089098519992
-65.75,80.75,-0.717600630396706
-85.25,80.5,-0.0667340959693925
-85,80.5,-0.0799875197337874
-84.75,80.5,-0.128181818675034
-84.5,80.5,-0.220586602343651
-84.25,80.5,-0.30092227163111
-84,80.5,-0.366829101121806
