long,lat,mmk
-60.75,82.25,-0.00213912255914496
-60.5,82.25,-0.073609971322132
-60.25,82.25,-0.0839724016271202
-60,82.25,-0.143737669210486
-59.75,82.25,-0.277071038886999
-59.5,82.25,-0.413943273627248
-59.25,82.25,-0.486492127183373
-59,82.25,-0.589083183550415
-58.75,82.25,-0.650427538303272
-58.5,82.25,-0.717014371906272
-58.25,82.25,-0.758212738576684
-58,82.25,-0.784638856351502
-57.75,82.25,-0.793799731975807
-57.5,82.25,-0.783524820017958
-57.25,82.25,-0.787404461989296
-57,82.25,-0.877624673584696
-56.75,82.25,-0.976533153489409
-56.5,82.25,-1.06373872956757
-56.25,82.25,-1.02832339566271
-61,82,-0.142440790151876
-60.75,82,-0.350172594687105
-60.5,82,-0.537984187090199
-60.25,82,-0.714967146085854
-64,81.75,-0.23386075187994
-63.75,81.75,-0.183971222663788
-63.5,81.75,-0.152951120096215
-63.25,81.75,-0.0294438546792984
-59.25,81.75,-0.735867238049536
-64.25,81.5,-1.37592327968982
-64,81.5,-1.30350121699233
-63.75,81.5,-1.1683428406895
-63.5,81.5,-1.0160895994823
-63.25,81.5,-0.908357899856034
-63,81.5,-0.786465772765887
-62.75,81.5,-0.672806644869048
-62.5,81.5,-0.582096577850716
-62.25,81.5,-0.454142840020202
-62,81.5,-0.439447779504035
-61.75,81.5,-0.410388397617102
-61.5,81.5,-0.424760645836117
-58,81.5,-0.539328075987251
-78.25,81.25,-0.841461104348393
-78,81.25,-0.674053547364817
-69,81.25,-0.188504906441375
-68.75,81.25,-0.747988052227438
-65,81.25,-0.100831189014673
-64.75,81.25,-0.136339683316681
-64.5,81.25,-0.206447955337633
-64.25,81.25,-0.54873199885848
-64,81.25,-1.53681370136687
-63.75,81.25,-2.25107852963196
-63.25,81.25,-2.59678929925659
-63,81.25,-2.37890937855866
-62.75,81.25,-2.20035674573616
-62.5,81.25,-2.02845366839913
-62.25,81.25,-1.80037516036245
-62,81.25,-1.44212934031919
-61.75,81.25,-1.08762226808129
-79.25,81,-0.333130786912247
-79,81,-0.616821870862767
-65.75,81,-0.160142638904344
-65.5,81,-0.384398873049715
-65.25,81,-0.550782587807464
-65,81,-0.519911740375106
-64.75,81,-0.881580845790948
-83.5,80.75,-0.965446538216829
-82.5,80.75,-0.824783097023069
-82.25,80.75,-0.778170613999282
-80,80.75,-0.628838622798738
-79.75,80.75,-0.541192991354816
-79.5,80.75,-0.499964140952627
-79.25,80.75,-0.395062929040798
-79,80.75,-0.318285556667499
-66.5,80.75,-0.111943974418422
-66.25,80.75,-0.147716556206878
-66,80.75,-0.180117348905458
-65.75,80.75,-0.274561080951564
-85.5,80.5,-0.106659268922594
-85.25,80.5,-0.239376178526998
-85,80.5,-0.396997255069874
-84.75,80.5,-0.49332861530453
-84.5,80.5,-0.655488623694819
-84.25,80.5,-0.790909282435379
-84,80.5,-0.915029787319651
-83.75,80.5,-1.02584623147101
-83.5,80.5,-1.09330948992813
-83.25,80.5,-1.15317908694381
-83,80.5,-1.04587015571355
-82.75,80.5,-1.08646071738506
-82.5,80.5,-1.15459009994354
-82.25,80.5,-1.12975340851956
-82,80.5,-1.13046591727211
-81.75,80.5,-1.12279172921401
-81.5,80.5,-1.29582680556711
-81.25,80.5,-1.42997778855181
-81,80.5,-1.57637335330525
-80.75,80.5,-1.81709318073073
-80.5,80.5,-2.13147052652861
-83.75,80.25,-4.58256870836664
-83.5,80.25,-5.45818888449709
-83.25,80.25,-3.83501908712955
-83,80.25,-4.03940680055708
-87,80,-0.998167670536829
-86.75,80,-1.34056472434317
-86.5,80,-1.15413969309209
-86.25,80,-1.08471635716031
-82.5,80,-0.0113115273336554
-82.25,80,-0.260004597280851
-65.25,80,-0.0256136875765036
-88,79,-0.606547355736723
-81.75,79,-0.658528083620297
-88,78.75,-0.598518379600607
-87.25,78.75,-0.662497777584811
-87,78.75,-0.345860434019018
-93.5,78.5,-0.0599082019462787
-93.25,78.5,-0.207952303958699
-93,78.5,-0.438659477723646
-92.75,78.5,-0.570302378127784
-90,78.5,-1.47917303270357
-88.5,78.5,-0.804483865555189
-87.75,78.5,-0.694805142947208
-87.5,78.5,-1.12241045217861
-93,78.25,-0.140389420654781
-92.75,78.25,-0.327172901150386
-92.5,78.25,-0.411189848558014
-92.25,78.25,-0.572508284007192
-90.25,78.25,-1.53890642615037
-90,78.25,-1.6902605737564
-89.5,78.25,-1.42989605478418
-89.25,78.25,-1.27591080784516
-88.5,78.25,-1.12979765766556
-88.25,78.25,-1.29215873051996
-88,78.25,-1.58136980984334
-87.75,78.25,-1.82291887301438
-87.5,78.25,-1.90994565773811
-86,78.25,-0.59269371185399
-85,78.25,-0.486944262139126
-75.25,78.25,-1.15548193173972
-75,78.25,-1.53617128178836
-74.75,78.25,-1.70447981601708
-74.5,78.25,-1.87829660778346
-74.25,78.25,-2.03655721709547
-74,78.25,-2.17956136315765
-73.75,78.25,-2.32905458819951
-73.5,78.25,-2.12351386407898
-73.25,78.25,-1.72479315410733
-73,78.25,-1.18330763437311
-94.25,78,-0.10697537523395
