long,lat,variable,value,level
73.375,39.625,tws245,-3.26413134886645,"(-4,-3]"
73.625,39.625,tws245,-3.19983898027984,"(-4,-3]"
73.875,39.625,tws245,-3.41489894335977,"(-4,-3]"
74.125,39.625,tws245,-3.37536739411063,"(-4,-3]"
74.375,39.625,tws245,-3.48933125784733,"(-4,-3]"
74.625,39.625,tws245,-3.51431767889314,"(-4,-3]"
71.625,39.375,tws245,-3.12827640015574,"(-4,-3]"
71.875,39.375,tws245,-3.00026013179096,"(-4,-3]"
72.125,39.375,tws245,-3.08666510007392,"(-4,-3]"
72.375,39.375,tws245,-3.11703437083741,"(-4,-3]"
72.625,39.375,tws245,-3.16925540959597,"(-4,-3]"
72.875,39.375,tws245,-3.16302663377882,"(-4,-3]"
73.125,39.375,tws245,-3.1122085393278,"(-4,-3]"
73.375,39.375,tws245,-3.22424679091894,"(-4,-3]"
73.625,39.375,tws245,-3.28364398732932,"(-4,-3]"
73.875,39.375,tws245,-3.34172008870181,"(-4,-3]"
74.125,39.375,tws245,-3.33488373498024,"(-4,-3]"
74.375,39.375,tws245,-3.39522364612289,"(-4,-3]"
74.625,39.375,tws245,-3.45786454768158,"(-4,-3]"
71.125,39.125,tws245,-2.94833797984273,"(-3,-2]"
71.375,39.125,tws245,-2.79191379738464,"(-3,-2]"
71.625,39.125,tws245,-2.73256432801379,"(-3,-2]"
71.875,39.125,tws245,-2.99874811209225,"(-3,-2]"
72.125,39.125,tws245,-3.04313420274958,"(-4,-3]"
72.375,39.125,tws245,-3.17286829250586,"(-4,-3]"
72.625,39.125,tws245,-3.17783889765083,"(-4,-3]"
72.875,39.125,tws245,-3.21090515252101,"(-4,-3]"
73.125,39.125,tws245,-3.11271517400438,"(-4,-3]"
73.375,39.125,tws245,-3.15456541056569,"(-4,-3]"
73.625,39.125,tws245,-3.23189921253905,"(-4,-3]"
73.875,39.125,tws245,-3.3848113248144,"(-4,-3]"
74.125,39.125,tws245,-3.38580607111441,"(-4,-3]"
74.375,39.125,tws245,-3.42984124044613,"(-4,-3]"
74.625,39.125,tws245,-3.4472395929825,"(-4,-3]"
74.875,39.125,tws245,-3.47769558941827,"(-4,-3]"
75.125,39.125,tws245,-3.48350167262428,"(-4,-3]"
70.375,38.875,tws245,-2.72312416352925,"(-3,-2]"
70.625,38.875,tws245,-2.79028267173366,"(-3,-2]"
70.875,38.875,tws245,-2.89520527300112,"(-3,-2]"
71.125,38.875,tws245,-2.91014254495957,"(-3,-2]"
71.375,38.875,tws245,-2.98072841542019,"(-3,-2]"
